@relation bank-data-weka.filters.unsupervised.attribute.Remove-R1

@attribute age numeric
@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {YES,NO}
@attribute children numeric
@attribute car {YES,NO}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
48,?,INNER_CITY,17546,?,1,?,NO,NO,NO,YES
40,MALE,TOWN,30085.1,YES,3,?,NO,YES,YES,NO
51,FEMALE,INNER_CITY,?,?,0,YES,YES,YES,?,NO
23,?,TOWN,20375.4,YES,3,NO,NO,YES,NO,NO
57,FEMALE,RURAL,?,?,0,NO,YES,NO,NO,NO
?,FEMALE,TOWN,37869.6,YES,2,NO,?,?,NO,YES
22,MALE,RURAL,8877.07,NO,?,NO,NO,YES,NO,YES
58,MALE,TOWN,?,YES,0,YES,YES,YES,?,NO
37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,?,NO
54,?,TOWN,24212.1,YES,?,YES,?,YES,NO,NO
66,FEMALE,TOWN,59803.9,?,0,NO,YES,YES,NO,NO
?,FEMALE,INNER_CITY,?,?,0,YES,YES,YES,YES,NO
44,FEMALE,?,15735.8,?,1,NO,?,?,YES,YES
66,FEMALE,?,?,?,1,YES,YES,YES,YES,YES
?,MALE,RURAL,?,YES,0,NO,YES,YES,YES,NO
38,FEMALE,INNER_CITY,?,YES,0,YES,?,YES,YES,NO
?,FEMALE,TOWN,17729.8,YES,2,NO,NO,?,YES,NO
46,FEMALE,SUBURBAN,41016,?,0,NO,YES,NO,YES,NO
62,FEMALE,INNER_CITY,26909.2,?,0,NO,YES,?,NO,YES
31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO
?,MALE,INNER_CITY,?,YES,?,NO,?,?,?,YES
?,MALE,TOWN,16497.3,YES,?,?,YES,YES,NO,NO
54,MALE,INNER_CITY,38446.6,YES,0,NO,?,YES,NO,NO
27,FEMALE,TOWN,?,NO,?,YES,YES,YES,?,NO
?,?,?,12640.3,NO,2,YES,?,YES,NO,NO
56,MALE,INNER_CITY,?,YES,0,YES,YES,YES,YES,NO
45,MALE,?,20809.7,YES,0,NO,?,YES,YES,NO
39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,?,YES
39,FEMALE,INNER_CITY,29359.1,?,?,YES,?,YES,?,NO
61,MALE,RURAL,24270.1,YES,1,NO,NO,?,?,YES
61,?,?,22942.9,?,2,?,YES,YES,NO,NO
?,FEMALE,TOWN,16325.8,YES,2,NO,?,NO,NO,NO
45,MALE,?,23443.2,YES,1,YES,YES,YES,NO,YES
33,FEMALE,INNER_CITY,29921.3,NO,3,YES,YES,NO,NO,NO
43,MALE,SUBURBAN,37521.9,NO,0,NO,YES,YES,NO,YES
27,FEMALE,INNER_CITY,19868,YES,2,NO,YES,YES,?,NO
19,MALE,RURAL,10953,YES,3,YES,YES,YES,?,NO
36,?,RURAL,13381,NO,0,YES,?,?,NO,YES
43,FEMALE,TOWN,18504.3,YES,0,YES,YES,YES,NO,NO
66,FEMALE,SUBURBAN,?,NO,2,?,?,YES,NO,NO
