@relation bank-data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4

@attribute age {'\'(-inf-34.333333]\'','\'(34.333333-50.666667]\'','\'(50.666667-inf)\''}
@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income {'\'(-inf-24386.173333]\'','\'(24386.173333-43758.136667]\'','\'(43758.136667-inf)\''}
@attribute married {YES,NO}
@attribute children numeric
@attribute car {YES,NO}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
'\'(34.333333-50.666667]\'',?,INNER_CITY,'\'(-inf-24386.173333]\'',?,1,?,NO,NO,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,'\'(24386.173333-43758.136667]\'',YES,3,?,NO,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,?,?,0,YES,YES,YES,?,NO
'\'(-inf-34.333333]\'',?,TOWN,'\'(-inf-24386.173333]\'',YES,3,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,?,?,0,NO,YES,NO,NO,NO
?,FEMALE,TOWN,'\'(24386.173333-43758.136667]\'',YES,2,NO,?,?,NO,YES
'\'(-inf-34.333333]\'',MALE,RURAL,'\'(-inf-24386.173333]\'',NO,?,NO,NO,YES,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,?,YES,0,YES,YES,YES,?,NO
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,'\'(24386.173333-43758.136667]\'',YES,2,YES,NO,NO,?,NO
'\'(50.666667-inf)\'',?,TOWN,'\'(-inf-24386.173333]\'',YES,?,YES,?,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,'\'(43758.136667-inf)\'',?,0,NO,YES,YES,NO,NO
?,FEMALE,INNER_CITY,?,?,0,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,?,'\'(-inf-24386.173333]\'',?,1,NO,?,?,YES,YES
'\'(50.666667-inf)\'',FEMALE,?,?,?,1,YES,YES,YES,YES,YES
?,MALE,RURAL,?,YES,0,NO,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,?,YES,0,YES,?,YES,YES,NO
?,FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,2,NO,NO,?,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,'\'(24386.173333-43758.136667]\'',?,0,NO,YES,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',?,0,NO,YES,?,NO,YES
'\'(-inf-34.333333]\'',MALE,TOWN,'\'(-inf-24386.173333]\'',YES,0,YES,YES,YES,NO,NO
?,MALE,INNER_CITY,?,YES,?,NO,?,?,?,YES
?,MALE,TOWN,'\'(-inf-24386.173333]\'',YES,?,?,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',YES,0,NO,?,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,?,NO,?,YES,YES,YES,?,NO
?,?,?,'\'(-inf-24386.173333]\'',NO,2,YES,?,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,?,YES,0,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,?,'\'(-inf-24386.173333]\'',YES,0,NO,?,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,1,NO,NO,YES,?,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',?,?,YES,?,YES,?,NO
'\'(50.666667-inf)\'',MALE,RURAL,'\'(-inf-24386.173333]\'',YES,1,NO,NO,?,?,YES
'\'(50.666667-inf)\'',?,?,'\'(-inf-24386.173333]\'',?,2,?,YES,YES,NO,NO
?,FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,2,NO,?,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,?,'\'(-inf-24386.173333]\'',YES,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',NO,3,YES,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,'\'(24386.173333-43758.136667]\'',NO,0,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,'\'(-inf-24386.173333]\'',YES,2,NO,YES,YES,?,NO
'\'(-inf-34.333333]\'',MALE,RURAL,'\'(-inf-24386.173333]\'',YES,3,YES,YES,YES,?,NO
'\'(34.333333-50.666667]\'',?,RURAL,'\'(-inf-24386.173333]\'',NO,0,YES,?,?,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,'\'(-inf-24386.173333]\'',YES,0,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,SUBURBAN,?,NO,2,?,?,YES,NO,NO
'\'(50.666667-inf)\'',MALE,TOWN,'\'(24386.173333-43758.136667]\'',YES,0,NO,NO,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,'\'(24386.173333-43758.136667]\'',YES,?,YES,?,?,NO,NO
'\'(50.666667-inf)\'',MALE,TOWN,?,?,2,?,YES,NO,NO,YES
'\'(-inf-34.333333]\'',FEMALE,TOWN,?,YES,0,YES,?,?,?,NO
?,MALE,INNER_CITY,?,?,?,YES,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,?,'\'(43758.136667-inf)\'',YES,2,NO,?,YES,YES,YES
'\'(34.333333-50.666667]\'',?,INNER_CITY,'\'(-inf-24386.173333]\'',NO,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',?,INNER_CITY,?,NO,2,?,YES,YES,YES,YES
?,?,INNER_CITY,'\'(24386.173333-43758.136667]\'',NO,2,?,?,?,?,YES
?,FEMALE,RURAL,'\'(-inf-24386.173333]\'',YES,2,?,YES,NO,NO,NO
